cell_id,latitude,longitude,geology_class,lithology,host_rock,metallogenesis,morphogenesis,fault_distance_km,lineament_distance_km,contact_distance_km,elevation_m,slope_deg,aspect_deg,ndvi,bsi,swir1,swir2,mn_occurrence,synthetic_demo
GRID_0001,21.418359,79.566388,Gneiss,Gneiss,Gneiss,Other,Mixed Terrain,1.414,1.812,0.259,480.29,11.05,331.45,0.4533,0.3004,0.0799,0.1478,0,1
GRID_0002,21.908107,79.54577,Other Metasedimentary,Quartzite,Quartzite,Stratiform/Stratabound,Metamorphic Terrain,2.599,0.784,2.844,404.62,3.99,276.26,0.6775,0.1355,0.1637,0.2198,1,1
GRID_0003,21.722195,80.468756,Alluvium,Alluvium,Alluvium,Other,Mixed Terrain,4.544,3.266,5.139,359.13,11.34,50.45,0.539,0.1334,0.2358,0.1569,0,1
GRID_0004,21.60886,79.549365,Sausar Group,Quartzite,Quartzite,Stratiform/Stratabound,Metamorphic Terrain,7.1,1.223,0.539,321.77,5.77,78.76,0.3432,0.2247,0.2343,0.3083,0,1
GRID_0005,21.232616,79.58073,Sausar Group,Marble,Marble,Stratiform/Stratabound,Metamorphic Terrain,2.799,0.386,1.427,531.7,11.17,231.84,0.546,0.2917,0.1458,0.2432,1,1
GRID_0006,21.232595,80.263158,Sausar Group,Quartzite,Quartzite,Stratiform/Stratabound,Metamorphic Terrain,0.299,0.893,0.156,326.3,6.97,331.76,0.492,0.1799,0.2386,0.1465,1,1
GRID_0007,21.149371,79.829636,Granite,Granite,Granite,Other,Mixed Terrain,1.731,1.242,0.236,493.69,11.8,160.5,0.1842,0.4014,0.2775,0.1699,1,1
GRID_0008,21.83625,80.287395,Granite,Granite,Granite,Other,Mixed Terrain,2.017,1.918,0.719,356.76,4.83,174.83,0.1998,0.133,0.3303,0.1716,0,1
GRID_0009,21.610948,79.291513,Gneiss,Gneiss,Gneiss,Other,Mixed Terrain,5.541,6.318,0.867,545.38,5.06,85.61,0.4839,0.3526,0.2546,0.135,0,1
GRID_0010,21.701862,79.8826,Sausar Group,Quartzite,Quartzite,Stratiform/Stratabound,Metamorphic Terrain,1.907,2.651,0.637,394.32,6.18,137.88,0.1466,0.2542,0.1764,0.2333,1,1
