date,shift,mine_id,face_id,planned_tonnes,actual_tonnes,ore_grade,stockpile_tonnes,operating_hours,downtime_hours,downtime_reason,availability,blast_delay_hours,blast_status,rainfall_mm,soil_moisture,land_temperature,haul_road_condition
2026-01-01,C,MOIL-BAL,F01,444.3,433.8,36.99,1158.7,16.0,2.5,None,0.896,0.0,Completed,9.01,0.3,29.91,Wet
2026-01-02,A,MOIL-BAL,F01,466.3,414.4,39.87,1190.6,19.4,2.97,None,0.876,2.4,Completed,8.44,0.323,28.39,Wet
2026-01-03,A,MOIL-BAL,F02,431.0,363.7,34.38,1179.9,20.4,5.29,Maintenance,0.78,1.85,Completed,3.34,0.239,27.43,Good
2026-01-04,B,MOIL-BAL,F03,385.2,311.5,38.67,1120.0,14.6,6.89,None,0.713,0.0,Completed,19.1,0.475,31.86,Poor
2026-01-05,A,MOIL-BAL,F01,413.7,373.3,35.6,1156.1,18.4,1.59,None,0.934,6.13,Delayed,4.66,0.344,28.58,Good
2026-01-06,B,MOIL-BAL,F04,386.2,410.6,35.84,1175.9,19.7,0.55,None,0.977,0.0,Completed,4.78,0.325,34.32,Good
2026-01-07,C,MOIL-BAL,F04,398.2,375.6,34.38,1226.2,20.2,1.36,Engine Failure,0.943,3.84,Completed,7.95,0.365,29.95,Wet
2026-01-08,B,MOIL-BAL,F01,494.1,447.2,37.41,1020.3,15.2,2.79,None,0.884,6.08,Delayed,6.82,0.286,27.47,Good
2026-01-09,A,MOIL-BAL,F03,472.5,421.2,35.29,1276.9,23.1,2.65,None,0.89,9.29,Delayed,3.98,0.236,28.16,Good
2026-01-10,B,MOIL-BAL,F04,528.8,485.2,38.76,1146.0,25.3,1.58,Maintenance,0.934,0.93,Completed,4.84,0.283,25.72,Good
2026-01-11,A,MOIL-BAL,F01,488.6,483.4,38.1,1247.3,15.2,0.0,Hydraulic Issue,0.99,0.0,Completed,0.75,0.283,26.49,Good
2026-01-12,A,MOIL-BAL,F04,527.9,513.4,33.2,1115.5,14.0,0.0,None,0.99,0.93,Completed,1.79,0.293,26.27,Good
2026-01-13,C,MOIL-BAL,F01,436.1,361.9,37.94,1131.9,17.7,2.7,None,0.887,10.31,Delayed,10.9,0.387,27.04,Wet
2026-01-14,A,MOIL-BAL,F01,402.5,392.5,31.08,1197.1,22.9,0.21,Engine Failure,0.99,0.0,Completed,2.53,0.234,28.51,Good
2026-01-15,B,MOIL-BAL,F01,404.0,364.8,40.28,1174.5,9.6,0.0,None,0.99,4.47,Completed,5.13,0.244,23.57,Good
2026-01-16,A,MOIL-BAL,F04,498.1,455.1,39.28,1181.4,17.8,4.79,None,0.8,0.0,Completed,2.33,0.308,29.68,Good
2026-01-17,A,MOIL-BAL,F01,527.3,451.8,40.95,1155.8,20.7,3.38,None,0.859,6.57,Delayed,11.82,0.332,29.22,Wet
2026-01-18,B,MOIL-BAL,F03,472.7,449.4,37.88,1122.8,17.9,1.0,Hydraulic Issue,0.958,0.0,Completed,17.62,0.437,27.81,Poor
2026-01-19,B,MOIL-BAL,F01,459.5,423.7,34.55,1196.6,17.3,1.48,Engine Failure,0.938,0.4,Completed,2.77,0.23,27.72,Good
2026-01-20,A,MOIL-BAL,F02,470.8,399.1,40.68,1158.3,18.5,4.84,None,0.798,2.83,Completed,10.02,0.355,23.84,Wet
2026-01-21,C,MOIL-BAL,F03,421.3,392.6,37.25,1180.6,13.0,1.34,Maintenance,0.944,8.39,Delayed,3.83,0.255,25.3,Good
2026-01-22,A,MOIL-BAL,F03,457.9,338.3,33.37,1219.6,13.0,5.89,None,0.754,5.48,Completed,3.47,0.359,25.71,Good
2026-01-23,C,MOIL-BAL,F04,436.9,399.1,38.73,1070.0,17.4,1.14,None,0.953,7.7,Delayed,4.71,0.279,25.47,Good
2026-01-24,B,MOIL-BAL,F04,453.9,405.5,39.85,1217.2,17.4,1.44,None,0.94,6.26,Delayed,10.59,0.326,32.04,Wet
2026-01-25,A,MOIL-BAL,F04,430.0,361.5,38.6,1179.7,20.6,3.41,Tyre Failure,0.858,6.41,Delayed,1.23,0.315,27.13,Good
2026-01-26,A,MOIL-BAL,F02,423.0,406.2,35.68,1029.5,17.9,2.26,None,0.906,0.0,Completed,4.99,0.332,28.97,Good
2026-01-27,C,MOIL-BAL,F04,430.5,386.4,38.42,1186.3,17.3,1.64,None,0.932,5.71,Completed,4.22,0.26,31.11,Good
2026-01-28,A,MOIL-BAL,F03,412.9,416.1,40.17,1168.8,18.5,1.36,Engine Failure,0.943,0.03,Completed,1.96,0.304,27.21,Good
2026-01-29,B,MOIL-BAL,F02,412.8,394.5,35.61,1203.0,14.4,0.51,Maintenance,0.979,2.6,Completed,4.06,0.242,33.12,Good
2026-01-30,B,MOIL-BAL,F04,422.4,317.2,39.13,1122.4,20.5,8.17,Hydraulic Issue,0.66,9.16,Delayed,0.82,0.29,23.21,Good
2026-01-31,A,MOIL-BAL,F01,418.7,338.7,36.02,1175.5,18.3,5.51,Maintenance,0.771,2.44,Completed,14.32,0.431,33.04,Wet
2026-02-01,C,MOIL-BAL,F01,426.2,361.0,39.26,1116.8,16.0,3.25,Hydraulic Issue,0.865,1.0,Completed,7.17,0.34,27.0,Wet
2026-02-02,C,MOIL-BAL,F04,480.4,438.4,41.14,1123.7,13.8,2.19,None,0.909,0.0,Completed,1.66,0.227,26.87,Good
2026-02-03,C,MOIL-BAL,F04,516.3,470.7,37.5,1104.2,16.1,1.97,None,0.918,5.21,Completed,3.2,0.261,26.86,Good
